id,kind,stage,loss,learning_rate,seed,epochs,train_n,train_mae,train_mse,train_seen_n,train_seen_mae,train_unseen_n,train_unseen_mae,validation_n,validation_mae,validation_mse,validation_seen_n,validation_seen_mae,validation_unseen_n,validation_unseen_mae
rnn-post-mae-s42,rnn,posttraining,mae,0.0001,42,5,160,0.014119574344701902,0.00038127754494036656,160,0.014119574344701902,0,,135,0.018214068343097415,0.0005485457184589445,30,0.01494297356989435,105,0.01914866684972686
rnn-post-mse-s42,rnn,posttraining,mse,0.0001,42,5,160,0.014624241809269998,0.0003928138621723793,160,0.014624241809269998,0,,135,0.01866179466614916,0.0005654734416346709,30,0.012860237024394875,105,0.02031938256379324
rnn-post-mae-s43,rnn,posttraining,mae,0.0001,43,5,160,0.012406807844271915,0.00032633994985612196,160,0.012406807844271915,0,,135,0.01677060561622449,0.0005418495963292855,30,0.012299399972233825,105,0.018048092943078967
rnn-post-mse-s43,rnn,posttraining,mse,0.0001,43,5,160,0.01307970479794964,0.000340819903652529,160,0.01307970479794964,0,,135,0.016917479294614752,0.0005255963206274775,30,0.012276723337717763,105,0.018243409568013895
rnn-post-mae-s44,rnn,posttraining,mae,0.0001,44,5,160,0.017744886467505598,0.0005018628951148431,160,0.017744886467505598,0,,135,0.026790814372932778,0.0011847279291525147,30,0.021786789063852532,105,0.02822053588981285
rnn-post-mse-s44,rnn,posttraining,mse,0.0001,44,5,160,0.01330629863705447,0.0003357093396591202,160,0.01330629863705447,0,,135,0.02337781925845852,0.0010355184919732128,30,0.014849616185593493,105,0.025814448707848523
lstm-post-mae-s42,lstm,posttraining,mae,0.0001,42,5,160,0.013879197227968118,0.0003835671207896246,160,0.013879197227968118,0,,135,0.021014061242462845,0.0007766502475594346,30,0.015135444325739005,105,0.022693666075812517
lstm-post-mse-s42,lstm,posttraining,mse,0.0001,42,5,160,0.01359872756790607,0.00035769243687821866,160,0.01359872756790607,0,,135,0.021127558905499826,0.0008066482404049254,30,0.013704578686624327,105,0.023248410396607112
lstm-post-mae-s43,lstm,posttraining,mae,0.0001,43,5,160,0.0124109264164408,0.0003162129679995496,160,0.0124109264164408,0,,135,0.018676085138505095,0.0007466980436831609,30,0.011802754315333876,105,0.02063989394512544
lstm-post-mse-s43,lstm,posttraining,mse,0.0001,43,5,160,0.012628520979423283,0.00030892450763688655,160,0.012628520979423283,0,,135,0.01846437373563292,0.0007470252051336822,30,0.012286296344086744,105,0.02022953870464611
lstm-post-mae-s44,lstm,posttraining,mae,0.0001,44,5,160,0.01598765154122768,0.0004510188762456596,160,0.01598765154122768,0,,135,0.02095170854254866,0.0007134969790337269,30,0.01469293973375319,105,0.02273992820220451
lstm-post-mse-s44,lstm,posttraining,mse,0.0001,44,5,160,0.020808619847910638,0.0006522409794931435,160,0.020808619847910638,0,,135,0.0206774295239678,0.0006477597164908712,30,0.018577222144391472,105,0.02127748877527532
gru-post-mae-s42,gru,posttraining,mae,0.0001,42,5,160,0.014574104737682846,0.0003819551408612075,160,0.014574104737682846,0,,135,0.027803138122721026,0.001388216059064684,30,0.011776163866062443,105,0.03238227362462348
gru-post-mse-s42,gru,posttraining,mse,0.0001,42,5,160,0.013192435472923512,0.0003298934529494688,160,0.013192435472923512,0,,135,0.02530742276195695,0.0012573245329787683,30,0.012075708609516522,105,0.02908791251979707
gru-post-mae-s43,gru,posttraining,mae,0.0001,43,5,160,0.013787182229208102,0.00036353239751661995,160,0.013787182229208102,0,,135,0.020596101080508113,0.0007065791839552398,30,0.01381162557717899,105,0.02253452265288786
gru-post-mse-s43,gru,posttraining,mse,0.0001,43,5,160,0.0158692582531128,0.0004367328382106813,160,0.0158692582531128,0,,135,0.02372576293059196,0.0009059370608586458,30,0.017513169250956806,105,0.025500789696201998
gru-post-mae-s44,gru,posttraining,mae,0.0001,44,5,160,0.013110814121978934,0.00034740184956806076,160,0.013110814121978934,0,,135,0.019760477730395933,0.0010094643070598457,30,0.012805254314735634,105,0.021747684420584588
gru-post-mse-s44,gru,posttraining,mse,0.0001,44,5,160,0.01424165245904642,0.0003720292954790758,160,0.01424165245904642,0,,135,0.020096354758032706,0.001064677080424014,30,0.015179144938789392,105,0.021501271849245083
dlinear-post-mae-s42,dlinear,posttraining,mae,0.0001,42,5,160,0.013249473739723641,0.0003376065037360725,160,0.013249473739723641,0,,135,0.017981830731496673,0.0005459272546077942,30,0.014149141562686087,105,0.019076884779728267
dlinear-post-mse-s42,dlinear,posttraining,mse,0.0001,42,5,160,0.012854318390508195,0.00031029618334621045,160,0.012854318390508195,0,,135,0.016657572460905115,0.000493633833656123,30,0.012148489784088253,105,0.017945881797138505
dlinear-post-mae-s43,dlinear,posttraining,mae,0.0001,43,5,160,0.012434013788125302,0.0003169981782856162,160,0.012434013788125302,0,,135,0.016995577701233066,0.000540144134826041,30,0.011584302654909168,105,0.01854165628589704
dlinear-post-mse-s43,dlinear,posttraining,mse,0.0001,43,5,160,0.01364833546749196,0.0003339646095969287,160,0.01364833546749196,0,,135,0.01844985359575197,0.0006280257344632217,30,0.012834530753510575,105,0.020054231550678085
dlinear-post-mae-s44,dlinear,posttraining,mae,0.0001,44,5,160,0.013951973972393908,0.00037147400272400483,160,0.013951973972393908,0,,135,0.020824368509489315,0.0007479738628643747,30,0.014401203023977495,105,0.02265955864820698
dlinear-post-mse-s44,dlinear,posttraining,mse,0.0001,44,5,160,0.014727153660141216,0.000406128884416979,160,0.014727153660141216,0,,135,0.021545560702868314,0.0007912323201518379,30,0.01484461894892784,105,0.023460115489708448
ridge-0.1,ridge,tabular,sse_plus_alpha_l2,,,,160,1.2531789929384518e-05,2.7334491076713507e-10,160,1.2531789929384518e-05,0,,135,0.026556395751813382,0.0012383683560928996,30,0.022586355141111812,105,0.027690693069156693
ridge-1,ridge,tabular,sse_plus_alpha_l2,,,,160,0.00012346723943848357,2.6542454509412758e-08,160,0.00012346723943848357,0,,135,0.026422447093006247,0.0012265874270708504,30,0.02246992288131141,105,0.027551739724919058
ridge-10,ridge,tabular,sse_plus_alpha_l2,,,,160,0.001082286742191645,2.0435151954255876e-06,160,0.001082286742191645,0,,135,0.025319450447848887,0.0011319094877918904,30,0.021601999340382108,105,0.02638157933569654
boosting,boosting,tabular,squared_error,,42,,160,0.008443720728961745,0.0001284614053459237,160,0.008443720728961745,0,,135,0.015172163616924856,0.00041179712238518216,30,0.011875243423134884,105,0.01611414081515056
