id,kind,stage,loss,learning_rate,seed,epochs,alpha,train_n,train_mae,train_mse,train_rmse,train_bias,validation_n,validation_mae,validation_mse,validation_rmse,validation_bias
US-natural/dlinear-mae-0.001-s43,dlinear,base,mae,0.001,43,30,,245,0.02346810341205412,0.0009303873781485164,0.03050225201765464,-0.016662987436667557,225,0.023928826942980198,0.0009672226138274906,0.03110020279399301,-0.014843396116100485
US-natural/dlinear-mae-0.001-s44,dlinear,base,mae,0.001,44,30,,245,0.017470586474680205,0.0006665638881884295,0.02581789860132752,0.002169107561108242,225,0.020177460920108675,0.000847308937808049,0.029108571552174264,-0.0016639243418667727
US-natural/dlinear-huber-0.0001-s42,dlinear,base,huber,0.0001,42,30,,245,0.015852962090055482,0.0005724030480244685,0.02392494614465137,0.0033347517469919006,225,0.023394256717972163,0.0010017092097957718,0.03164979004347062,-0.009497049585451087
US-natural/dlinear-huber-0.0001-s43,dlinear,base,huber,0.0001,43,30,,245,0.015989385243715327,0.0006207056302377902,0.024913964562826813,0.0025024312709270246,225,0.024174033804417967,0.0010233832274891934,0.03199036147793884,-0.0015799860180776
US-natural/dlinear-huber-0.0001-s44,dlinear,base,huber,0.0001,44,30,,245,0.01682538930150822,0.0006524788073823487,0.02554366472106829,-0.0015135870838440652,225,0.027069805125164978,0.001576647656562288,0.03970702276124827,0.0016393416602054549
US-natural/dlinear-huber-0.001-s42,dlinear,base,huber,0.001,42,30,,245,0.018204495116480156,0.0006679563713292569,0.02584485193088281,-0.008985933426792082,225,0.020701214772460924,0.0009211082889733181,0.030349765880041284,-0.014342230428062612
US-natural/dlinear-huber-0.001-s43,dlinear,base,huber,0.001,43,30,,245,0.017130018938828626,0.0006440300132324111,0.0253777464175291,0.008924968714516215,225,0.01813637273531775,0.0006373159287056277,0.025245116927945246,0.007384016743498311
US-natural/dlinear-huber-0.001-s44,dlinear,base,huber,0.001,44,30,,245,0.02234322967603978,0.0008724669110279264,0.029537550863738285,0.014617577490657402,225,0.023271236025172958,0.0009516079272695715,0.030848143011688263,0.013558418549958798
US-natural/rnn-post-mae-s42,rnn,posttraining,mae,0.0001,42,5,,245,0.014642235467997726,0.0005145105150573804,0.022682824230183075,-0.00038336864488786206,225,0.023758798671598486,0.0009514407417846027,0.030845433078246814,0.013236831672851177
US-natural/rnn-post-mse-s42,rnn,posttraining,mse,0.0001,42,5,,245,0.015313737340355585,0.0005134415917865884,0.02265924958568991,0.004812022016264178,225,0.025673634625912062,0.001064620539208551,0.032628523399144974,0.016806390631063713
US-natural/rnn-post-mae-s43,rnn,posttraining,mae,0.0001,43,5,,245,0.016540059406427107,0.0005792267115667491,0.024067129275564817,0.006556565290710589,225,0.022472572192309623,0.0009567947449760149,0.030932098942296413,0.0024732302273617174
US-natural/rnn-post-mse-s43,rnn,posttraining,mse,0.0001,43,5,,245,0.014755209701326493,0.0005038781130027123,0.022447229517308195,0.0028366884928788007,225,0.022627016320437735,0.0009786418532543837,0.03128325196098359,-0.0033723980871863514
US-natural/rnn-post-mae-s44,rnn,posttraining,mae,0.0001,44,5,,245,0.014966162962057942,0.0005427387286186524,0.023296753606858026,-0.002764059672650801,225,0.02141759040041539,0.0010292168316794717,0.03208140944035146,-0.007388270532557768
US-natural/rnn-post-mse-s44,rnn,posttraining,mse,0.0001,44,5,,245,0.014840593539062833,0.0005185693426483698,0.022772117658407833,-0.00023861795917170083,225,0.020502645080807638,0.000971092926515815,0.031162363942997248,-0.004452337359854977
US-natural/lstm-post-mae-s42,lstm,posttraining,mae,0.0001,42,5,,245,0.014645921360379146,0.0005151470765434298,0.022696851687919843,0.0009857212620333297,225,0.0213991823230829,0.0007828769543413793,0.02797993842633288,0.007274248746895723
US-natural/lstm-post-mse-s42,lstm,posttraining,mse,0.0001,42,5,,245,0.014701630289389415,0.0004908538837268247,0.02215522249328191,-0.00031534755057538937,225,0.021735484465157433,0.0008253892012210592,0.028729587557447794,0.006149267121683158
