namespace,concept,unit,period_kind,partition,raw_rows,invalid_rows,unique_keys,unique_admissible,duplicates,conflicting_rows,ambiguous_keys,publications,first_filed,last_filed,first_start,last_start,first_end,last_end,duration_min_days,duration_max_days,assets_with_raw_rows,assets_with_admissible_facts
us-gaap,InventoryNet,CNY,stock_without_start,development_filed_through_2022,1860,0,62,62,1798,0,0,31,2012-01-31,2022-10-28,,,2011-06-30,2022-06-30,,,1,1
us-gaap,InventoryNet,CNY,stock_without_start,validation_filed_2023,120,0,4,4,116,0,0,2,2023-03-24,2023-10-30,,,2022-06-30,2023-06-30,,,1,1
us-gaap,InventoryNet,USD,stock_without_start,development_filed_through_2022,4719939,270,91413,91413,4628256,0,0,44397,2009-04-30,2022-12-29,,,2007-12-31,2022-12-01,,,1180,1180
us-gaap,InventoryNet,USD,stock_without_start,validation_filed_2023,432399,0,8810,8810,423589,0,0,4312,2023-01-04,2023-12-29,,,2020-10-31,2023-11-30,,,1098,1098
us-gaap,Liabilities,CAD,stock_without_start,development_filed_through_2022,5262,0,164,164,5098,0,0,82,2011-04-04,2022-11-09,,,2009-12-31,2022-09-30,,,5,5
us-gaap,Liabilities,CAD,stock_without_start,validation_filed_2023,748,0,27,27,721,0,0,12,2023-02-09,2023-11-09,,,2021-12-31,2023-09-30,,,3,3
us-gaap,Liabilities,CNY,stock_without_start,development_filed_through_2022,720,0,24,24,696,0,0,12,2012-10-24,2022-10-28,,,2011-06-30,2022-06-30,,,1,1
us-gaap,Liabilities,CNY,stock_without_start,validation_filed_2023,120,0,4,4,116,0,0,2,2023-03-24,2023-10-30,,,2022-06-30,2023-06-30,,,1,1
us-gaap,Liabilities,USD,stock_without_start,development_filed_through_2022,7239582,335,141978,141978,7097269,0,0,69639,2009-04-15,2022-12-29,,,2007-12-31,2022-12-01,,,1891,1891
us-gaap,Liabilities,USD,stock_without_start,validation_filed_2023,732211,58,15213,15213,716940,0,0,7471,2023-01-04,2023-12-29,,,2019-03-31,2023-11-30,,,1860,1860
us-gaap,LiabilitiesCurrent,CAD,stock_without_start,development_filed_through_2022,5372,0,167,167,5205,0,0,83,2011-04-04,2022-11-09,,,2009-12-31,2022-09-30,,,5,5
us-gaap,LiabilitiesCurrent,CAD,stock_without_start,validation_filed_2023,748,0,27,27,721,0,0,12,2023-02-09,2023-11-09,,,2021-12-31,2023-09-30,,,3,3
us-gaap,LiabilitiesCurrent,CNY,stock_without_start,development_filed_through_2022,1860,0,62,62,1798,0,0,31,2012-01-31,2022-10-28,,,2011-06-30,2022-06-30,,,1,1
us-gaap,LiabilitiesCurrent,CNY,stock_without_start,validation_filed_2023,120,0,4,4,116,0,0,2,2023-03-24,2023-10-30,,,2022-06-30,2023-06-30,,,1,1
us-gaap,LiabilitiesCurrent,ILS,stock_without_start,development_filed_through_2022,336,0,6,6,330,0,0,3,2011-09-14,2012-05-17,,,2010-12-31,2012-03-31,,,1,1
us-gaap,LiabilitiesCurrent,USD,stock_without_start,development_filed_through_2022,6995521,335,137437,137437,6857749,0,0,67275,2009-04-15,2022-12-29,,,2007-12-31,2022-12-01,,,1676,1676
us-gaap,LiabilitiesCurrent,USD,stock_without_start,validation_filed_2023,649750,0,13611,13611,636139,0,0,6665,2023-01-04,2023-12-29,,,2019-03-31,2023-11-30,,,1652,1652
us-gaap,LiabilitiesNoncurrent,CAD,stock_without_start,development_filed_through_2022,57,0,2,2,55,0,0,2,2011-04-04,2021-06-01,,,2010-12-31,2019-12-31,,,2,2
us-gaap,LiabilitiesNoncurrent,ILS,stock_without_start,development_filed_through_2022,224,0,4,4,220,0,0,2,2012-03-30,2012-05-17,,,2010-12-31,2012-03-31,,,1,1
us-gaap,LiabilitiesNoncurrent,USD,stock_without_start,development_filed_through_2022,1241345,396,23067,23067,1217882,0,0,11351,2009-05-07,2022-12-28,,,2007-12-31,2022-11-30,,,410,410
us-gaap,LiabilitiesNoncurrent,USD,stock_without_start,validation_filed_2023,112252,198,2111,2111,109943,0,0,1040,2023-01-05,2023-12-28,,,2020-12-31,2023-11-30,,,268,268
us-gaap,NetCashProvidedByUsedInFinancingActivities,CAD,flow_with_start,development_filed_through_2022,7628,0,233,233,7395,0,0,81,2011-04-04,2022-11-09,2004-03-22,2022-07-01,2008-12-31,2022-09-30,90,3207,5,5
us-gaap,NetCashProvidedByUsedInFinancingActivities,CAD,flow_with_start,validation_filed_2023,922,0,31,31,891,0,0,12,2023-02-09,2023-11-09,2020-01-01,2023-07-01,2020-12-31,2023-09-30,90,366,3,3
us-gaap,NetCashProvidedByUsedInFinancingActivities,CNY,flow_with_start,development_filed_through_2022,1230,0,41,41,1189,0,0,18,2012-01-31,2022-10-28,2010-07-01,2021-07-01,2010-09-30,2022-06-30,92,366,1,1
us-gaap,NetCashProvidedByUsedInFinancingActivities,CNY,flow_with_start,validation_filed_2023,150,0,5,5,145,0,0,2,2023-03-24,2023-10-30,2020-07-01,2022-07-01,2021-06-30,2023-06-30,184,365,1,1
us-gaap,NetCashProvidedByUsedInFinancingActivities,ILS,flow_with_start,development_filed_through_2022,504,0,9,9,495,0,0,3,2011-09-14,2012-05-17,2007-01-31,2012-01-01,2010-06-30,2012-03-31,91,1886,1,1
us-gaap,NetCashProvidedByUsedInFinancingActivities,USD,flow_with_start,development_filed_through_2022,8197964,47,163413,163413,8034504,0,0,73420,2009-04-15,2022-12-29,1967-05-26,2022-09-02,2006-12-31,2022-12-01,3,16961,2210,2210
us-gaap,NetCashProvidedByUsedInFinancingActivities,USD,flow_with_start,validation_filed_2023,933126,0,19532,19532,913594,0,0,8837,2023-01-04,2023-12-29,2019-01-01,2023-09-04,2019-03-31,2023-11-30,36,371,2208,2208
us-gaap,NetCashProvidedByUsedInFinancingActivities,USD,stock_without_start,development_filed_through_2022,35,0,1,1,34,0,0,1,2012-11-26,2012-11-26,,,2012-09-01,2012-09-01,,,1,1
